date,1. open,2. high,3. low,4. close,5. volume
2019-10-29,22.81,24.1,22.34,23.52,516285.0
2019-10-28,24.76,25.92,22.53,23.02,779887.0
2019-10-25,24.35,26.03,24.3,25.11,771429.0
2019-10-24,25.13,25.18,24.11,24.25,416419.0
2019-10-23,24.52,25.13,24.12,24.92,334288.0
2019-10-22,25.68,25.92,24.65,24.71,256776.0
2019-10-21,25.37,25.89,24.98,25.47,240098.0
2019-10-18,25.48,25.8,25.05,25.24,242444.0
2019-10-17,26.04,26.32,25.65,25.86,242107.0
2019-10-16,26.5,26.6,25.52,25.88,330041.0
2019-10-15,26.53,27.08,26.14,26.68,226721.0
2019-10-14,26.91,27.16,26.1501,26.4,230471.0
2019-10-11,28.45,28.73,27.05,27.09,459382.0
2019-10-10,26.2,28.08,25.995,27.76,692209.0
2019-10-09,25.48,26.06,24.58,25.83,313814.0
2019-10-08,26.51,26.96,25.11,25.18,435821.0
2019-10-07,26.78,27.69,26.54,26.54,461599.0
2019-10-04,25.79,27.0,25.51,26.89,472557.0
2019-10-03,26.55,26.65,25.43,25.61,632253.0
2019-10-02,25.32,26.76,24.72,26.53,433333.0
2019-10-01,25.98,26.325,25.1,25.62,517222.0
2019-09-30,26.3,26.39,25.17,26.02,358680.0
2019-09-27,24.78,26.35,24.74,26.06,443585.0
2019-09-26,25.1,25.8,24.3993,24.91,553562.0
2019-09-25,23.46,24.68,23.15,24.52,600776.0
2019-09-24,23.39,23.87,22.88,23.55,342252.0
2019-09-23,23.43,23.71,22.89,23.55,543132.0
2019-09-20,24.48,24.85,23.53,23.79,521774.0
2019-09-19,23.2,24.86,22.89,24.35,894183.0
2019-09-18,24.8,24.8,23.68,24.25,585886.0
2019-09-17,24.87,25.03,24.21,24.92,551504.0
2019-09-16,24.23,25.94,24.22,25.25,512611.0
2019-09-13,24.64,25.58,24.4102,24.69,816055.0
2019-09-12,25.07,25.1932,24.045,24.5,424810.0
2019-09-11,25.22,25.86,23.43,24.78,918992.0
2019-09-10,24.21,26.07,24.21,25.03,512486.0
2019-09-09,24.88,26.2,24.43,24.63,545312.0
2019-09-06,25.07,26.72,24.78,24.86,1164039.0
2019-09-05,24.05,25.49,23.62,24.95,1291996.0
2019-09-04,22.07,24.4217,21.41,23.6,1749346.0
2019-09-03,24.98,25.9,21.9,21.9,1300193.0
2019-08-30,24.8,24.82,23.22,23.31,1146072.0
2019-08-29,25.4,26.39,23.7723,24.89,1649028.0
2019-08-28,26.72,27.72,25.76,26.47,995483.0
2019-08-27,29.5,29.77,26.94,27.05,1612937.0
2019-08-26,31.29,31.98,29.64,29.84,735557.0
2019-08-23,32.96,33.33,30.81,30.91,1093432.0
2019-08-22,34.01,35.27,33.07,33.21,652189.0
2019-08-21,32.68,34.075,32.34,33.7,703819.0
2019-08-20,33.09,34.285,32.2,32.32,869470.0
2019-08-19,37.75,37.75,32.38,32.44,1398393.0
2019-08-16,39.62,40.4317,38.1,38.28,930974.0
2019-08-15,38.5,39.892,36.67,38.92,1235684.0
2019-08-14,35.34,37.679,34.57,36.08,1465071.0
2019-08-13,38.06,40.37,36.75,37.28,2209851.0
2019-08-12,44.16,44.33,31.0,36.2,6496400.0
2019-08-09,68.8,77.31,68.8,76.48,791036.0
2019-08-08,66.08,69.76,65.76,69.16,825330.0
2019-08-07,65.2,66.27,64.395,66.18,264389.0
2019-08-06,64.34,66.42,63.895,66.3,393417.0
2019-08-05,62.6,64.34,62.34,63.25,333688.0
2019-08-02,64.85,65.91,63.52,65.09,324052.0
2019-08-01,69.63,69.63,65.3,65.42,298188.0
2019-07-31,70.93,71.3,68.36,69.28,432959.0
2019-07-30,71.18,72.01,70.34,70.9,370994.0
2019-07-29,70.86,72.42,69.15,72.02,443404.0
2019-07-26,65.59,71.555,64.99,70.86,582644.0
2019-07-25,65.17,66.97,64.7,65.42,472246.0
2019-07-24,64.86,66.78,64.755,65.29,305715.0
2019-07-23,63.84,65.24,62.81,65.08,440165.0
2019-07-22,65.85,66.28,63.53,63.54,467710.0
2019-07-19,66.91,67.39,64.81,65.82,404438.0
2019-07-18,68.03,68.69,64.8,67.03,415836.0
2019-07-17,68.8,69.795,67.745,68.17,331818.0
2019-07-16,68.96,71.31,68.72,69.11,647205.0
2019-07-15,73.32,73.5,68.47,68.96,640184.0
2019-07-12,74.21,74.47,72.66,73.3,353016.0
2019-07-11,75.19,75.5,73.53,73.9,374195.0
2019-07-10,74.82,76.22,73.135,74.55,348609.0
2019-07-09,73.26,76.05,72.8,74.37,321209.0
2019-07-08,72.09,74.5,71.05,74.0,509633.0
2019-07-05,72.99,73.81,71.65,72.52,263001.0
2019-07-03,73.66,74.66,72.04,73.4,192477.0
2019-07-02,71.69,74.06,70.58,73.96,336805.0
2019-07-01,73.6,75.7,71.17,71.55,398617.0
2019-06-28,71.01,73.27,70.61,72.85,418616.0
2019-06-27,68.03,72.28,67.9501,70.61,567943.0
2019-06-26,69.8,70.615,67.0,67.88,303726.0
2019-06-25,67.35,69.67,66.96,69.33,472555.0
2019-06-24,66.44,67.4,65.05,67.26,388880.0
2019-06-21,66.62,67.17,65.5914,66.46,473004.0
2019-06-20,67.09,67.8,65.6414,66.97,311790.0
2019-06-19,67.75,68.35,65.035,65.35,326287.0
2019-06-18,66.44,68.62,66.24,67.56,498887.0
2019-06-17,65.49,66.27,64.5,64.94,503951.0
2019-06-14,68.1,68.705,64.88,65.76,644049.0
2019-06-13,68.49,68.7788,63.32,68.43,1071525.0
2019-06-12,61.84,69.2265,60.51,68.55,1380689.0
2019-06-11,58.47,61.82,58.19,61.8,1227407.0
2019-06-10,56.43,58.56,56.26,57.87,566597.0
2019-06-07,56.26,57.29,54.99,56.11,342041.0
2019-06-06,55.02,55.795,53.98,55.71,580989.0
2019-06-05,53.85,55.75,53.34,54.62,592388.0
2019-06-04,50.8,53.97,50.42,53.81,544129.0
2019-06-03,51.11,51.11,48.7,50.3,734837.0
2019-05-31,49.35,51.0,48.5101,49.88,589966.0
2019-05-30,48.58,51.405,48.58,49.85,713569.0
2019-05-29,48.47,48.595,45.14,48.28,989920.0
2019-05-28,50.0,52.52,48.09,48.81,7173733.0
2019-05-24,48.83,50.27,47.77,49.99,844974.0
2019-05-23,48.13,49.64,46.89,48.35,604230.0
2019-05-22,48.32,49.42,47.92,48.97,575877.0
2019-05-21,46.22,49.0,46.22,48.43,659353.0
2019-05-20,44.94,45.93,43.26,45.73,636359.0
2019-05-17,44.82,46.66,44.26,44.94,467553.0
2019-05-16,44.03,46.77,43.59,45.73,463835.0
2019-05-15,42.72,44.86,42.11,44.4,435582.0
2019-05-14,43.59,44.95,42.895,43.48,546032.0
2019-05-13,44.7,44.7,42.27,42.75,815389.0
2019-05-10,46.07,48.74,45.74,46.52,691843.0
2019-05-09,46.0,48.1133,45.03,48.05,518423.0
2019-05-08,46.23,48.0,46.15,46.9,428137.0
2019-05-07,47.18,47.2853,45.17,45.7,502451.0
2019-05-06,46.66,48.99,46.01,47.98,382152.0
2019-05-03,44.25,48.38,44.15,48.14,698485.0
2019-05-02,41.96,43.96,41.1925,43.72,334925.0
2019-05-01,40.53,41.99,40.22,41.84,455588.0
2019-04-30,39.89,40.77,39.87,40.58,567788.0
2019-04-29,41.01,41.42,39.43,39.73,488093.0
2019-04-26,41.9,42.855,40.2,40.82,669779.0
2019-04-25,41.24,42.3,37.39,41.19,1655316.0
2019-04-24,47.16,47.6899,41.74,42.41,799747.0
2019-04-23,47.59,47.68,46.0,47.09,332665.0
2019-04-22,46.7,48.325,46.25,47.02,259694.0
2019-04-18,50.81,51.04,46.25,46.98,309061.0
2019-04-17,49.28,51.83,47.64,50.83,513266.0
2019-04-16,49.26,50.9199,48.12,48.5,344278.0
2019-04-15,48.5,50.77,48.17,49.3,276480.0
2019-04-12,45.87,48.43,45.87,48.43,419394.0
2019-04-11,47.99,48.44,45.1992,46.1,242029.0
2019-04-10,46.35,48.4117,45.74,47.87,258270.0
2019-04-09,47.55,47.9299,44.8,46.17,287351.0
2019-04-08,45.58,47.65,45.395,47.47,374295.0
2019-04-05,43.65,45.68,43.55,45.62,434283.0
2019-04-04,42.91,44.412,42.4,43.6,242291.0
2019-04-03,44.86,45.4,42.77,43.07,238463.0
2019-04-02,46.71,46.71,43.9,44.48,341960.0
2019-04-01,46.53,47.85,45.63,46.5,321378.0
2019-03-29,44.52,46.61,43.9674,45.76,208506.0
2019-03-28,42.3,44.37,42.3,44.12,431440.0
2019-03-27,45.03,45.4,42.17,42.81,491219.0
2019-03-26,47.82,48.78,45.17,46.0,312835.0
2019-03-25,46.31,48.34,46.31,47.4,249220.0
2019-03-22,50.0,50.53,46.2901,46.47,493939.0
2019-03-21,52.12,53.5099,50.76,51.12,304420.0
2019-03-20,51.82,53.41,51.19,52.46,469850.0
2019-03-19,51.72,54.33,51.6,51.91,634834.0
2019-03-18,49.48,51.95,49.0,51.44,380837.0
2019-03-15,47.6,50.04,47.4122,49.33,471989.0
2019-03-14,46.79,47.61,45.4541,46.69,198837.0
2019-03-13,45.92,47.6,45.5,47.01,372682.0
2019-03-12,48.0,49.2,45.4325,45.7,303216.0
2019-03-11,46.08,49.58,46.08,47.53,734865.0
2019-03-08,43.66,47.11,43.66,44.55,660224.0
2019-03-07,43.58,44.785,41.62,43.26,342626.0
2019-03-06,46.32,46.32,43.59,43.73,302005.0
2019-03-05,46.37,47.1,45.03,46.99,194396.0
2019-03-04,46.76,47.61,45.29,46.32,218196.0
2019-03-01,51.0,51.34,46.62,46.71,437619.0
2019-02-28,52.15,52.79,49.59,50.5,342542.0
2019-02-27,53.1,54.54,51.85,52.21,261939.0
2019-02-26,52.02,53.89,51.51,53.41,159758.0
2019-02-25,54.53,55.11,52.09,52.27,300053.0
2019-02-22,52.08,54.2637,52.08,54.08,268400.0
2019-02-21,51.02,52.83,51.02,51.67,254096.0
2019-02-20,52.78,54.6,50.38,51.05,477378.0
2019-02-19,55.95,56.55,51.71,52.0,520384.0
2019-02-15,57.53,58.32,56.35,56.95,231901.0
2019-02-14,56.15,58.35,56.15,58.11,196691.0
2019-02-13,59.13,59.29,56.545,56.82,185375.0
2019-02-12,58.52,59.44,57.46,59.03,238137.0
2019-02-11,57.2,58.16,55.81,57.62,141455.0
2019-02-08,56.82,57.585,54.86,57.44,163875.0
2019-02-07,58.49,58.49,54.3442,56.88,255674.0
2019-02-06,58.55,59.91,57.15,57.33,191155.0
2019-02-05,59.65,60.6,58.06,59.68,383637.0
2019-02-04,57.31,60.32,57.23,59.72,231066.0
2019-02-01,57.49,58.47,56.26,57.98,165663.0
2019-01-31,57.47,58.42,56.0601,57.87,156748.0
2019-01-30,57.26,58.15,55.9526,57.15,266587.0
2019-01-29,55.43,57.81,54.42,56.71,211568.0
2019-01-28,54.8,55.85,53.3,55.25,290487.0
2019-01-25,54.84,55.81,53.89,55.0,215616.0
2019-01-24,54.99,55.81,53.45,53.98,293654.0
2019-01-23,53.23,55.26,52.98,54.97,349822.0
2019-01-22,53.0,53.95,51.82,52.73,201619.0
2019-01-18,52.28,54.3,51.68,53.83,413932.0
2019-01-17,49.87,51.795,48.715,51.66,225285.0
2019-01-16,53.03,53.29,49.51,49.95,666344.0
2019-01-15,53.0,53.58,52.38,52.75,204400.0
2019-01-14,53.0,54.2095,51.8303,53.0,501072.0
2019-01-11,52.11,53.25,51.58,53.17,170619.0
2019-01-10,50.57,52.835,49.9,52.35,374905.0
2019-01-09,49.5,52.62,48.52,50.57,681480.0
2019-01-08,50.79,50.8999,48.15,49.5,413937.0
2019-01-07,46.68,50.54,45.87,50.01,387619.0
2019-01-04,44.56,47.17,44.46,46.9,220357.0
2019-01-03,43.7,44.76,42.09,44.36,148552.0
2019-01-02,44.19,44.83,43.5302,43.87,208462.0
2018-12-31,42.62,44.4199,42.215,44.22,131771.0
2018-12-28,40.89,43.47,40.01,42.55,265809.0
2018-12-27,38.13,40.67,37.41,40.61,465168.0
2018-12-26,35.8,38.63,34.66,38.46,321247.0
2018-12-24,36.0,37.82,35.18,35.69,164007.0
2018-12-21,38.19,38.19,36.34,36.52,223178.0
2018-12-20,39.26,39.5,37.49,37.66,352804.0
2018-12-19,39.93,40.98,38.41,38.57,342218.0
