Date,Open,Close,High,Low,Volume
2019-06-28,11329.99,12400.63,12480,10982.88,95795.203964
2019-06-29,12407.06,11903.13,12441.54,11475.02,69642.074157
2019-06-30,11903.13,10854.1,12180,10766.03,84512.530443
2019-07-01,10854.1,10624.93,11282.28,10030,90962.268271
2019-07-02,10624.9,10842.85,10938.75,9727,109561.038728
2019-07-03,10844.98,11940,11991.89,10841.04,96815.90029
2019-07-04,11940,11145.67,12000,11055,66512.221892
2019-07-05,11145.67,10970.73,11406.83,10796.44,63534.350582
2019-07-06,10982.41,11256.49,11665,10964.51,51469.496331
2019-07-07,11256.45,11406.24,11538,11094.37,38884.795599
2019-07-08,11410,12238.6,12338.03,11220,52182.367215
2019-07-09,12238.6,12543.41,12794.73,12068,78442.130343
2019-07-10,12548.51,12108.37,13147.08,11569,109246.044997
2019-07-11,12108.11,11342.89,12111.73,11000,87506.461058
2019-07-12,11342.88,11757.22,11885,11073,56321.858281
2019-07-13,11757.22,11355.76,11799.98,10830,54245.594548
2019-07-14,11355.78,10174.18,11452,10103,72517.579236
2019-07-15,10174.18,10838.72,11100,9860,81922.426332
2019-07-16,10833.78,9439.59,11028,9350.01,97219.443413
2019-07-17,9430.17,9667.92,9957,9060,84942.672717
2019-07-18,9668.86,10627.16,10788,9252,80283.310252
2019-07-19,10628.64,10504.29,10769.71,10121.84,56546.932133
2019-07-20,10505.78,10740.23,11068.99,10350,47331.899848
2019-07-21,10740.27,10589.45,10817.9,10288,38834.287935
2019-07-22,10590.15,10340.31,10683.16,10100,40467.954839
2019-07-23,10343.08,9864.91,10343.97,9822,47624.37071
2019-07-24,9864.78,9763.28,9937,9525,43475.380377
2019-07-25,9763.4,9879.87,10175,9720.03,37873.354728
2019-07-26,9882.15,9824,9889.98,9637,27167.463217
2019-07-27,9824,9476.52,10188.66,9333,43809.778301
2019-07-28,9478.92,9541.54,9594.99,9165,29401.022937
2019-07-29,9541.54,9507.64,9729,9395,29021.937411
